"Custom ID",Judul,Pencipta,"Asal Report",Revenue,Deduction,"Net Revenue","Sub Publisher Share","TBW Share"
TLSESF0001,"YA TARIM","HASAN BIN JA'FAR ASSEGAF",YouTube,913377.12,0.00,913377.12,776370.55,137006.57
TLSESF0001,"YA TARIM","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",69410.90,0.00,69410.90,58999.27,10411.64
TLSESF0002,"MUHAMMADUN YAA RASULULLAH","HASAN BIN JA'FAR ASSEGAF",YouTube,97.12,0.00,97.12,82.55,14.57
TLSESF0002,"MUHAMMADUN YAA RASULULLAH","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",56.25,0.00,56.25,47.81,8.44
TLSESF0003,"SHOLAWAT SAYYIDI SADAT","HASAN BIN JA'FAR ASSEGAF",YouTube,30509.74,0.00,30509.74,25933.28,4576.46
TLSESF0003,"SHOLAWAT SAYYIDI SADAT","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",4010.57,0.00,4010.57,3408.99,601.59
TLSESF0004,"TAWASUL AULIA","HASAN BIN JA'FAR ASSEGAF",YouTube,67864.79,0.00,67864.79,57685.07,10179.72
TLSESF0004,"TAWASUL AULIA","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",10278.15,0.00,10278.15,8736.43,1541.72
TLSESF0005,"YAA DZALJALALI WAL IKRAM","HASAN BIN JA'FAR ASSEGAF",YouTube,13145.18,0.00,13145.18,11173.40,1971.78
TLSESF0005,"YAA DZALJALALI WAL IKRAM","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",2641.08,0.00,2641.08,2244.92,396.16
TLSESF0006,"YA HABIBANA ABDURAHMAN ASSEGAF","HASAN BIN JA'FAR ASSEGAF",YouTube,6764.68,0.00,6764.68,5749.98,1014.70
TLSESF0006,"YA HABIBANA ABDURAHMAN ASSEGAF","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",1599.43,0.00,1599.43,1359.51,239.91
TLSESF0007,"ALLAHUL KAAFI","HASAN BIN JA'FAR ASSEGAF",YouTube,1862477.63,0.00,1862477.63,1583105.98,279371.64
TLSESF0007,"ALLAHUL KAAFI","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",229763.27,0.00,229763.27,195298.78,34464.49
TLSESF0008,"FAROBBUNAL MAULA","HASAN BIN JA'FAR ASSEGAF",YouTube,776.35,0.00,776.35,659.90,116.45
TLSESF0008,"FAROBBUNAL MAULA","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",87.52,0.00,87.52,74.39,13.13
TLSESF0009,"SAYYIDI FAQIH MUQODDAM","HASAN BIN JA'FAR ASSEGAF",YouTube,10.94,0.00,10.94,9.30,1.64
TLSESF0009,"SAYYIDI FAQIH MUQODDAM","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",3.26,0.00,3.26,2.77,0.49
TLSESF0010,"MAJLIS NURUL MUSTHOFA","HASAN BIN JA'FAR ASSEGAF",YouTube,1255.05,0.00,1255.05,1066.80,188.26
TLSESF0010,"MAJLIS NURUL MUSTHOFA","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",124.62,0.00,124.62,105.92,18.69
TLSESF0076,"YAA NABINAL HADI","HASAN BIN JA'FAR ASSEGAF",YouTube,1149.51,0.00,1149.51,977.08,172.43
TLSESF0076,"YAA NABINAL HADI","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",76.79,0.00,76.79,65.27,11.52
TLSESF0089,"YAA ROBBANA YAA JAWWAD","HASAN BIN JA'FAR ASSEGAF",YouTube,472.06,0.00,472.06,401.25,70.81
TLSESF0089,"YAA ROBBANA YAA JAWWAD","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",81.75,0.00,81.75,69.49,12.26
TLSESF0091,"ALA YA ALLAH BI NADROH","HASAN BIN JA'FAR ASSEGAF",YouTube,1020.39,0.00,1020.39,867.34,153.06
TLSESF0091,"ALA YA ALLAH BI NADROH","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",944.32,0.00,944.32,802.67,141.65
TLSESF0093,"QOSIDAH DAUNI LIRIK INDO","HASAN BIN JA'FAR ASSEGAF",YouTube,781.22,0.00,781.22,664.04,117.18
TLSESF0093,"QOSIDAH DAUNI LIRIK INDO","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",153.58,0.00,153.58,130.54,23.04
TLSESF0094,"RABBI FAN FA'NA BIBARKATIHIM","HASAN BIN JA'FAR ASSEGAF",YouTube,684.77,0.00,684.77,582.06,102.72
TLSESF0094,"RABBI FAN FA'NA BIBARKATIHIM","HASAN BIN JA'FAR ASSEGAF","YouTube Premium",176.56,0.00,176.56,150.07,26.48
